session_id,participant_id,validation_type,timestamp,calibration_accuracy,glasses,total_duration_ms,total_duration_sec,completed_tasks,total_tasks,completion_rate,avg_task_duration_ms,avg_valence,std_valence,min_valence,max_valence,avg_negative_prob,max_negative_prob,total_samples,emotion_distribution,negative_emotions_ratio,modal_shown_count,modal_closed_count,total_clicks,error_corrections,total_interactions,total_fixations,total_gaze_distance,avg_gaze_speed,fixations_per_second
session_1776627386054_lby6kzld0,123,inline,1776627386054,71,False,55873,55.873,1,1,1.0,55873.0,-9.282848543733837e-06,2.6866682274275972e-05,-0.0002915902573996654,2.1127741917987762e-05,1.7438884064246486e-05,0.0004244739594425617,372.0,{'neutral': 372},0.0,7,7,7,0,23,1002,224696.60106849344,4034.340007693432,17.99051996552715
session_1776627990177_hijpy199t,112,modal,1776627990177,81,False,48274,48.274,2,2,1.0,24137.0,1.7231381618684988e-05,3.0418489122478528e-05,-4.3760948044990766e-05,0.0003373958900656504,7.447928584189953e-06,0.00018884614947367595,323.0,{'neutral': 323},0.0,4,2,3,0,14,834,214264.19323753548,4124.113508825797,16.05266197020441
session_1776632016524_u17ut3bp7,1,modal,1776632016524,29,False,63619,63.619,4,4,1.0,15904.75,-0.032773446511793494,0.112564602925857,-0.4405555237636236,0.19998509479343732,0.1329606892289639,0.98316313257601,313.0,"{'neutral': 242, 'surprised': 50, 'sad': 17, 'angry': 4}",0.0670926517571885,2,2,2,0,15,363,156637.07411011372,2110.585112310365,4.891194502459071
session_1776642693955_ami588ned,1,modal,1776642693955,45,False,35910,35.91,4,4,1.0,8977.5,,,,,,,,,,0,0,0,0,9,250,103427.7866309935,1780.1071672402586,4.302777873395064
session_1776666363074_keot2ipmd,89,inline,1776666363074,63,False,138193,138.193,2,2,1.0,69096.5,0.021056905391841303,0.06285259410155915,-0.7048719754962293,0.28981996475200894,0.005738888484082014,0.8819655815889291,802.0,"{'neutral': 727, 'surprised': 73, 'angry': 2}",0.0024937655860349127,1,0,13,0,31,1595,603354.5577070031,3991.1001005920493,10.550686290722672
session_1776666613551_la9akh1k7,103,inline,1776666613552,76,False,107954,107.954,2,2,1.0,53977.0,-0.019924921592203104,0.04523470764541337,-0.2864453339422511,0.1747829812539198,0.05281405845894538,0.7172273183633706,622.0,"{'neutral': 610, 'sad': 8, 'surprised': 4}",0.012861736334405145,5,4,21,0,57,747,175782.83890684415,1363.9370177208402,5.796134358584409
session_1776666613551_la9akh1k7,103,inline,1776666613552,76,False,107954,107.954,2,2,1.0,53977.0,-0.019924921592203104,0.04523470764541337,-0.2864453339422511,0.1747829812539198,0.05281405845894538,0.7172273183633706,622.0,"{'neutral': 610, 'sad': 8, 'surprised': 4}",0.012861736334405145,5,4,21,0,57,747,175782.83890684415,1363.9370177208402,5.796134358584409
session_1776666990709_t8y13wrg5,75,inline,1776666990709,47,False,118164,118.164,2,2,1.0,59082.0,0.0021966372180273223,0.08290678876812684,-0.34128199372838774,0.7999600661723127,0.015446521042169079,0.8531530390208495,718.0,"{'neutral': 709, 'happy': 7, 'sad': 2}",0.002785515320334262,2,1,26,2,50,1427,385229.52139391925,2996.286207358844,11.099098538527949
session_1776667325476_szfltkm9i,93,inline,1776667325476,70,False,110446,110.446,2,2,1.0,55223.0,0.06341843766724098,0.20701999021784045,-0.17262060667109155,0.8000000019945741,0.0011586945767399306,0.4570067639103286,619.0,"{'neutral': 571, 'happy': 48}",0.0,3,2,19,0,49,868,143657.4397910771,1240.7686908134935,7.4969122740345995
session_1776667325476_szfltkm9i,93,inline,1776667325476,70,False,110446,110.446,2,2,1.0,55223.0,0.06341843766724098,0.20701999021784045,-0.17262060667109155,0.8000000019945741,0.0011586945767399306,0.4570067639103286,619.0,"{'neutral': 571, 'happy': 48}",0.0,3,2,19,0,49,868,143657.4397910771,1240.7686908134935,7.4969122740345995
